Word,Frequency
pedestrians,225
pedestrian,215
spiu,212
avs,182
av,181
this,144
be,129
clear,123
can,122
crosswalk,121
display,113
design,104
should,104
spius,100
traffic,95
communication,95
approaching,91
safety,82
shared,78
ehmi,78
safe,78
vehicles,77
cross,70
information,70
cues,67
like,67
visual,65
could,65
space,64
yielding,64
crossing,63
signals,56
message,55
from,53
both,53
zone,47
sound,46
visibility,46
will,45
it,44
system,44
crucial,43
their,43
all,42
scenario,41
presence,41
messages,41
its,39
sensors,39
when,38
